City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Port Hedland,AU,-20.3167,118.5667,71.65,83,3,9.22,clear sky
187,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,93,100,11.5,overcast clouds
188,Touros,BR,-5.1989,-35.4608,82.47,61,6,13.22,clear sky
189,Moose Factory,CA,51.2585,-80.6094,30.2,69,100,16.11,overcast clouds
190,Pochutla,MX,15.7432,-96.4661,85.82,60,29,6.6,scattered clouds
191,Agar,IN,23.7,76.0167,67.6,41,55,6.51,broken clouds
192,Hohhot,CN,40.8106,111.6522,32.29,74,40,13.42,scattered clouds
193,Athol,US,42.5959,-72.2268,65.79,88,100,4.61,mist
194,Namatanai,PG,-3.6667,152.4333,78.01,81,100,2.82,overcast clouds
195,Makakilo City,US,21.3469,-158.0858,77.61,53,75,9.22,broken clouds
196,Carutapera,BR,-1.195,-46.02,84.22,69,66,7.38,broken clouds
197,Vestmannaeyjar,IS,63.4427,-20.2734,46.54,84,94,15.52,overcast clouds
198,Luderitz,NA,-26.6481,15.1594,59.22,84,0,10.16,clear sky
199,Tual,ID,-5.6667,132.75,83.61,73,100,4.29,overcast clouds
200,Graneros,CL,-34.0667,-70.7333,66.38,55,75,8.05,broken clouds
201,Bonthe,SL,7.5264,-12.505,79.23,77,12,6.71,few clouds
202,Port Lincoln,AU,-34.7333,135.8667,60.91,90,100,18.34,moderate rain
203,Los Rastrojos,VE,10.0259,-69.2417,82.76,57,75,3.42,light rain
204,Aras,ES,42.5617,-2.356,57.63,72,40,11.5,scattered clouds
205,Coihaique,CL,-45.5752,-72.0662,63.21,63,75,2.3,broken clouds
206,Zhezkazgan,KZ,47.8043,67.7144,28.65,80,40,7.9,scattered clouds
207,Pangnirtung,CA,66.1451,-65.7125,1.4,71,20,4.61,few clouds
208,Agadez,NE,19.75,10.25,70.99,25,0,8.12,clear sky
209,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,83,20,16.11,few clouds
210,Mangrol,IN,21.1167,70.1167,79.66,58,19,0.96,few clouds
211,Berlevag,NO,70.8578,29.0864,35.55,87,0,3.44,clear sky
212,Notse,TG,6.95,1.1667,76.78,85,100,1.97,moderate rain
213,Kaduna,NG,10.5222,7.4383,78.19,33,7,5.46,clear sky
214,Acarau,BR,-2.8856,-40.12,84.06,64,100,19.84,overcast clouds
215,Coquimbo,CL,-29.9533,-71.3436,64.13,72,75,9.22,broken clouds
216,Tasiilaq,GL,65.6145,-37.6368,35.76,67,100,20.65,overcast clouds
