City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
536,Shenjiamen,CN,68.99,few clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
538,Kirakira,SB,79.41,overcast clouds,-10.4544,161.9205,SanBiz Lodge
539,Luganville,VU,78.15,moderate rain,-15.5333,167.1667,The Espiritu Hotel
542,Sambava,MG,72.36,scattered clouds,-14.2667,50.1667,Melrose
547,Marsh Harbour,BS,81.91,clear sky,26.5412,-77.0636,Abaco Beach Resort
548,Laela,TZ,67.87,broken clouds,-8.5667,32.05,Samazi laela
551,Acajutla,SV,82.4,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
553,Labrea,BR,87.28,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
555,Manjacaze,MZ,72.61,broken clouds,-24.7117,33.8828,Hotel Gani
556,Mana,GF,81.73,broken clouds,5.6592,-53.7767,LE SAMANA
558,Itarare,BR,69.31,moderate rain,-24.1125,-49.3317,Hospedaria Frei Caneca
562,Pemex,MX,83.37,clear sky,18.4395,-96.3461,Hotel Alquimia Premier
565,Rocha,UY,74.84,clear sky,-34.4833,-54.3333,Hotel Arrarte
566,Los Llanos De Aridane,ES,67.75,few clouds,28.6585,-17.9182,Valle Aridane
567,Sagua La Grande,CU,83.39,moderate rain,22.8067,-80.0756,Hotel Telégrafo
570,Kieta,PG,78.37,light rain,-6.2167,155.6333,Uruna Bay Retreat
572,Maracaibo,VE,83.21,broken clouds,10.6317,-71.6406,Motel Aladdin
574,Bandarbeyla,SO,79.47,overcast clouds,9.4942,50.8122,JABIR HOTEL
577,Ahuimanu,US,79.2,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
578,Sao Joao Da Barra,BR,82.49,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
582,Filadelfia,US,69.89,moderate rain,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
583,Sirsi,IN,71.38,overcast clouds,14.6167,74.85,Tripvillas @ Sapna Yatri Nivas
584,Topolobampo,MX,76.91,clear sky,25.6,-109.05,Hotel Marina Topolobampo
587,Yegros,PY,86.2,broken clouds,-26.45,-56.4,Damián Paiva
590,Benghazi,LY,68.4,clear sky,32.1167,20.0667,Tibesti Hotel
592,Noumea,NC,77.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
595,Caninde De Sao Francisco,BR,87.75,broken clouds,-9.66,-37.7894,Xingó Parque Hotel
598,Teknaf,BD,70.43,clear sky,20.8624,92.3058,Forestry Guesthouse
603,Pilani,IN,69.17,clear sky,28.3684,75.6041,Hotel Sunshine Pilani
605,Nakhon Phanom,TH,70.29,scattered clouds,17.3333,104.4167,ป่ายางรีสอร์ท
607,Semarang,ID,75.99,heavy intensity rain,-6.9932,110.4203,Quest Hotel Simpang Lima Semarang
608,Richards Bay,ZA,72.46,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
610,Maxixe,MZ,75.33,clear sky,-23.8597,35.3472,Oceano
611,Sundumbili,ZA,71.8,overcast clouds,-29.1337,31.3975,The Plover Bed and Breakfast
614,Kolar,IN,68.76,heavy intensity rain,13.1333,78.1333,Hotel Saidham
617,Freetown,SL,82.11,light rain,8.484,-13.2299,The Country Lodge Hotel
618,Kalamb,IN,67.1,scattered clouds,19.05,73.95,Hotel Ravikiran
620,Buritis,BR,88.38,moderate rain,-15.6178,-46.4233,Hotel Rainha do Vale
621,Kulhudhuffushi,MV,81.1,overcast clouds,6.6221,73.07,Haajy Guest House 1
622,Sulangan,PH,82.53,scattered clouds,11.1373,123.7228,Maia's Beach Resort
625,Paracatu,BR,81.37,light rain,-17.2222,-46.8747,Hotel Paracatu Plaza
629,Iquitos,PE,89.64,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
630,Greenville,US,80.55,overcast clouds,35.6127,-77.3663,"Holiday Inn Express Greenville, an IHG Hotel"
631,Tongzi,CN,65.89,overcast clouds,28.7829,105.0877,Jiayuan Hotel
632,Haimen,CN,73.29,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
634,Maha Sarakham,TH,77.18,overcast clouds,16.3333,103.6667,บุญทัน​บาเบอร์
635,Dargaville,NZ,65.41,scattered clouds,-35.9333,173.8833,Parkview Motel
637,Tamiahua,MX,82.65,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
638,Kabinda,CD,65.79,moderate rain,-6.1333,24.4833,Village Mianda Mutole
639,Port Moresby,PG,75.65,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
640,Mabaruma,GY,82.62,broken clouds,8.2,-59.7833,Monty Brooms Guest House
643,Sohag,EG,68.29,clear sky,26.557,31.6948,Civil Registry - Sohag 1
647,Diu,IN,77.52,few clouds,20.7141,70.9822,Hotel Relax Inn
648,Tete,MZ,86.09,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
654,Mahajanga,MG,80.62,scattered clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
660,Cardinal,CA,65.21,overcast clouds,44.7834,-75.3826,Johnstown Motel
664,Buenos Aires,AR,85.89,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
667,Jizan,SA,83.34,clear sky,17.3333,42.6667,شهدان. ابوالحجر
669,Bon Air,US,75.02,thunderstorm with light rain,37.5249,-77.5578,DoubleTree by Hilton Hotel Richmond - Midlothian
671,Oistins,BB,84.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
672,Nueva Loja,EC,87.82,few clouds,0.0847,-76.8828,Limoncocha Great Hotel
673,Safaga,EG,73.49,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
674,Benemerito De Las Americas,MX,88.95,clear sky,16.5167,-90.6439,Residencia Univeresitaria
675,Angoche,MZ,78.1,clear sky,-16.2325,39.9086,Guest House HESADA
678,Port-De-Bouc,FR,69.96,clear sky,43.4,4.9833,HOTEL RESIDENCE LES AIGUADES
680,Palu,ID,74.82,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
681,Winthrop,US,72.52,overcast clouds,42.3751,-70.9828,Courtyard by Marriott Boston Logan Airport
683,Concepcion Del Oro,MX,73.06,clear sky,24.6333,-101.4167,Hotel Hacienda San Javier
685,El Retorno,CO,84.97,broken clouds,2.3302,-72.6276,Hostal la posada de Rita
686,Sale,MA,65.75,clear sky,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
688,Sabang,ID,77.27,light rain,5.8933,95.3214,Hotel Citra
690,Maningrida,AU,82.33,few clouds,-12.0667,134.2667,Dhukurrdji Lodge
691,Sokoni,TZ,78.66,clear sky,-6.4333,39.55,Ujamaa Beach Resort
692,Tautira,PF,77.68,broken clouds,-17.7333,-149.15,Pension Oaoa
